PREFIX,VARIETY,AVARIETY,BAY,CART,CAN
US,2001-040,US01-040,3,B,14
N,39,N39,4,B,2
N,39,N39,3,B,8
N,37,N37,4,B,11
N,27,N27,3,C,7
LHO,2020-057,LHO20-057,6,C,14
L,1986-454,LCP86-454,5,A,13
LCP,1985-384,LCP85-384,5,A,14
LCP,1985-384,LCP85-384,4,B,14
LCP,1985-384,LCP85-384,3,B,11
LCP,1985-384,LCP85-384,2,B,11
LCP,1985-384,LCP85-384,1,B,14
LCP,1981-030,LCP81-030,4,A,14
LCP,1981-010,LCP81-010,6,B,7
LCP,1981-010,LCP81-010,5,B,14
LCP,1981-010,LCP81-010,2,B,2
LCP,1981-010,LCP81-010,1,A,16
L,1999-233,L99-233,6,A,12
L,1999-233,L99-233,5,B,4
L,1999-233,L99-233,4,B,10
L,1999-233,L99-233,3,C,6
L,1999-233,L99-233,3,A,12
L,1999-233,L99-233,2,B,9
L,1999-233,L99-233,1,B,17
L,1999-233,L99-233,1,A,9
L,1999-226,L99-226,6,C,17
L,1999-226,L99-226,6,A,10
L,1999-226,L99-226,5,A,2
L,1999-226,L99-226,4,B,12
L,1999-226,L99-226,4,A,6
L,1999-226,L99-226,3,C,16
L,1999-226,L99-226,3,A,18
L,1999-226,L99-226,2,C,3
L,1999-226,L99-226,1,C,4
L,1998-209,L98-209,6,A,8
L,1998-209,L98-209,1,A,1
L,1998-207,L98-207,6,B,18
L,1998-207,L98-207,1,B,1
L,1997-128,L97-128,4,C,9
L,1997-128,L97-128,3,C,17
L,1997-128,L97-128,2,C,1
L,1994-433,L94-433,5,A,4
L,1994-426,L94-426,5,C,13
L,1994-426,L94-426,4,C,13
L,1986-454,L86-454,2,A,18
L,2020-055,L20-055,5,C,9
L,2020-029,L20-029,6,C,11
L,2019-498,L19-498,6,C,2
L,2019-497,L19-497,5,B,1
L,2019-486,L19-486,6,C,3
L,2019-486,L19-486,5,A,8
L,2019-021,L19-021,6,C,1
L,2019-006,L19-006,6,C,8
L,2019-006,L19-006,5,C,6
L,2019-006,L19-006,3,B,5
L,2018-441,L18-441,1,C,8
L,2018-438,L18-438,2,C,11
L,2017-428,L17-428,2,C,10
L,2017-410,L17-410,4,B,4
L,2015-337,L15-337,6,B,9
L,2015-337,L15-337,6,A,16
L,2015-337,L15-337,5,B,17
L,2015-337,L15-337,5,A,6
L,2015-320,L15-320,4,B,9
L,2015-320,L15-320,2,C,5
L,2015-320,L15-320,2,B,4
L,2015-320,L15-320,1,A,2
L,2015-306,L15-306,5,C,4
L,2015-306,L15-306,4,C,15
L,2015-306,L15-306,3,C,18
L,2015-306,L15-306,3,B,7
L,2015-306,L15-306,1,A,10
L,2015-305,L15-305,6,B,12
L,2015-300,L15-300,4,B,3
L,2015-298,L15-298,2,C,18
L,2014-282,L14-282,6,C,6
L,2014-282,L14-282,4,B,16
L,2014-282,L14-282,2,A,12
L,2014-282,L14-282,1,B,15
L,2014-276,L14-276,2,C,16
L,2014-276,L14-276,1,B,12
L,2014-275,L14-275,2,C,9
L,2014-273,L14-273,2,C,13
L,2014-273,L14-273,1,C,10
L,2014-269,L14-269,1,C,14
L,2014-267,L14-267,6,A,6
L,2014-267,L14-267,5,B,12
L,2014-267,L14-267,4,A,4
L,2014-267,L14-267,3,B,17
L,2014-267,L14-267,2,A,1
L,2014-266,L14-266,2,B,13
L,2014-265,L14-265,6,C,13
L,2014-264,L14-264,1,C,6
L,2013-251,L13-251,5,C,5
L,2013-251,L13-251,3,B,2
L,2013-251,L13-251,3,A,11
L,2013-251,L13-251,2,C,15
L,2013-251,L13-251,1,C,16
L,2013-243,L13-243,4,B,18
